mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,lat,lon,depth,quake_id
1.0,"4 km E of Interlaken, CA",1717580367690,1717580465325,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016582,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016582.geojson,,,,,automatic,0,15,nc,75016582,",nc75016582,",",nc,",",nearby-cities,origin,phase-data,",6.0,0.03711,0.1,109.0,md,earthquake,"M 1.0 - 4 km E of Interlaken, CA",36.961498260498,-121.688163757324,5.84999990463257,nc75016582
0.31,"8 km NNW of The Geysers, CA",1717580248450,1717580345270,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016577,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016577.geojson,,,,,automatic,0,1,nc,75016577,",nc75016577,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.01135,0.01,103.0,md,earthquake,"M 0.3 - 8 km NNW of The Geysers, CA",38.8328323364258,-122.818168640137,1.83000004291534,nc75016577
0.2,"56 km NW of Indian Springs, Nevada",1717579915538,1717580015572,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00878633,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00878633.geojson,,,,,automatic,0,1,nn,00878633,",nn00878633,",",nn,",",origin,phase-data,",13.0,0.029,0.2754,62.79,ml,earthquake,"M 0.2 - 56 km NW of Indian Springs, Nevada",36.9585,-116.0711,11.6,nn00878633
2.01,"2 km WNW of Guadalupe Victoria, B.C., MX",1717579762140,1717580125644,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614679,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614679.geojson,,,,,automatic,0,62,ci,40614679,",ci40614679,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.4586,0.29,267.0,ml,earthquake,"M 2.0 - 2 km WNW of Guadalupe Victoria, B.C., MX",32.2958333,-115.1293333,19.81,ci40614679
1.01,"7 km NW of The Geysers, CA",1717579474080,1717579570215,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016572,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016572.geojson,,,,,automatic,0,16,nc,75016572,",nc75016572,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.009196,0.01,76.0,md,earthquake,"M 1.0 - 7 km NW of The Geysers, CA",38.8161659240723,-122.821998596191,2.74000000953674,nc75016572
0.95,"8 km ESE of Ridgecrest, CA",1717578925380,1717579290388,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614671,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614671.geojson,,,,,automatic,0,14,ci,40614671,",ci40614671,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.0752,0.15,86.0,ml,earthquake,"M 1.0 - 8 km ESE of Ridgecrest, CA",35.6033333,-117.5885,7.13,ci40614671
2.0,"5 km ENE of Delta, B.C., MX",1717578705830,1717579122366,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614663,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614663.geojson,1.0,0.0,,,automatic,0,62,ci,40614663,",ci40614663,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",16.0,0.3929,0.33,223.0,ml,earthquake,"M 2.0 - 5 km ENE of Delta, B.C., MX",32.3686667,-115.1435,0.01,ci40614663
2.0,"66 km NNE of Van Horn, Texas",1717578605279,1717580477564,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024kzsr,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/tx2024kzsr.geojson,,,,,automatic,0,62,tx,2024kzsr,",tx2024kzsr,",",tx,",",origin,phase-data,",8.0,0.1,0.1,165.0,ml,earthquake,"M 2.0 - 66 km NNE of Van Horn, Texas",31.591,-104.553,3.3104,tx2024kzsr
1.5,"11 km NW of Glennallen, Alaska",1717578568334,1717578705522,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477ssdlt,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477ssdlt.geojson,,,,,automatic,0,35,ak,02477ssdlt,",ak02477ssdlt,",",ak,",",origin,phase-data,",,,0.92,,ml,earthquake,"M 1.5 - 11 km NW of Glennallen, Alaska",62.1806,-145.7025,12.9,ak02477ssdlt
1.16,"14 km ENE of Ridgecrest, CA",1717578369350,1717578729324,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614655,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614655.geojson,,,,,automatic,0,21,ci,40614655,",ci40614655,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.08492,0.16,90.0,ml,earthquake,"M 1.2 - 14 km ENE of Ridgecrest, CA",35.6603333,-117.5278333,1.55,ci40614655
